description,country,variety
"Raisiny and sweeet smelling, with baked qualities but also a bitter bite of horseradish. The palate is deep and hard, with burnt notes, tough tannins and berry flavors softened by buttery oak. Beefy and rubbery, but with enough ripeness to be worth a look.",Spain,Red Blend
"Blackberry and other fruits are presented clearly on the nose, while the rubbery, bouncy palate seems properly tight and balanced. Sweet, stretched-out flavors of black plum and berry are warm and youthful. Good for basic drinking.",Spain,Tempranillo
"Magenta-colored, berry loaded and fresh, all of which help what could be a pedestrian wine reach a higher plane. Sweet cherry and plum flavors mix with snappy acidity and good structure, and overall you get a refreshing, satisfying wine with genuine appeal.",Spain,Red Blend
"Rich and very good, with depth and a chocolaty essence that shows itself on the front and back ends of the wine. Pure in terms of berry fruit flavors, and with good verve and mouthfeel. A balanced, spot-on wine with serious structure, style and follow through. Drink now–2015.",Spain,Tempranillo
"Earthy, rich and black as night, with roasted blackberry aromas that draw you in. Then the palate keeps you there, and even if it runs a bit hard and tannic, the integrity and flavors of coconut, roasted berry and coffee are fine and dandy. Boisterous and big, but that's Toro for you.",Spain,Tinta de Toro
"A rich, more modern type of Rioja with dark color, slightly raisiny berry aromas and molasses, vanilla and mocha on the nose. The palate is full and chewy, with cola, fig and wild berry flavors. Stylish and creamy on the finish, and very pleasant as a whole. 55% Tempranillo with four other grapes blended in, including Graciano and Garnacha.",Spain,Tempranillo Blend
"Tres Picos, or Three Peaks, ranks as a go-to wine for fans of round, smooth, slightly oaky reds. The bouquet is all mocha and smoky/oaky richness, while the sticky, rich palate deals blackberry and chewy, rooty medicinality. Oaky and spicy late, with licorice and warmth. The best thing is that it's not heavy or overextracted despite being youthful and modern in style.",Spain,Garnacha
"Cherry and raspberry aromas are a little scratchy, with accents of toast, leather and roasted meat. The palate, on the other hand, is more lean, driving and citric than in riper years; it's crisp and fresh, with red plum, pie cherry and toasty oak flavors. Clean, lean and ready to drink.",Spain,Tempranillo
"This five-grape blend is dark and concentrated, but also a touch soupy and mulchy. Interestingly, the palate shows snappy acidity along the edges, yielding crisp flavors of cherry, raspberry and spice. Finishes dry, herbal and spicy, but needs a boost of fruit to equal previous efforts.",Spain,Red Blend
"Red in color, with a reedy, cinnamon nose that speaks to the 60% Pinot Noir in the wine. Flavors of strawberry and raspberry are downgraded by a rhubarb quality, and the mouthfell clamps down like a vise. Fruity but not dry or balanced enough to impress.",Spain,Sparkling Blend
"If it weren't for the core fruit, which is pretty good, this wine would tank. It's so heavy and dark that it doesn't seem like it will last another week. Probably better if you're sitting in the town of Calatayud; as an export, it's from too warm of a climate to hold up to the travel.",Spain,Rosé
"Lollipop aromas are muddled and not very convincing, while the palate is unfocused and borders on sour. Foamy and abrasive on the cheeks, with a mediocre flavor profile. From the outside this looks great (nice bottle and label) but the insides are shaky.",Spain,Sparkling Blend
"Oxidized and fading, with leftover pear on the nose. The palate has residual acidity but the fruit is short on flavor, while the finish is briny and citric.",Spain,Albariño
"Semi-dry Cavas are a risky row, and this wine proves why. It has iodine and dusty lemon aromas, while the palate is chunky and flat, with sweet orange and other candied citrus flavors. Bland and bordering on cloying.",Spain,Sparkling Blend
"Jumbled aromas of medicinal fruit, rubber and oak knit together with airing. The palate is clampy and angular but healthy, with a roasted black-fruit flavor that's accented by an herbal, medicinal note. This is big-boned, with a medicinal side.",Spain,Monastrell
"This feels mildly citric, with limited portions of lemon, apple and peach making up the flavor profile. Mild on the finish.",Spain,Verdejo
"Dusty and straightforward on the nose, this has aromas of pear and apple. It feels simple, tight and not overly evolved, with a peach flavor that's not too complex. Zesty in feel, this tastes a bit like vitamins and nuts on the finish.",Spain,Sparkling Blend
"Dry apple and crisp citrus aromas come with a touch of sweet grass. It has lively lemon-lime and apple flavors, and it seems to have beeen dosed on the sweeter side of extra dry. Overall, it's fruity, friendly and likable.",Spain,Sparkling Blend
"This starts with funky, saucy aromas that clean up and become less strange with airing. Rugged, tannic and bumpy on the palate, it has baked, rubbery black-fruit flavors. It finishes short and drying, with hard tannins and heat.",Spain,Tinta de Toro
"Gaseous, earthy, mossy aromas are not entirely inviting, and the palate is immensely thick and round, with big, grating tannins. But the plum, berry and meaty elements are good, and the finish of chewy tannins goes on for quite some time. An extracted wine with minor balance and aromatic issues.",Spain,Mencía
"Banana, lemon curd and sawdust are the prime aromas on this oaky, creamy, candied style of Chard from Navarra. The palate is soft and modern, with decent core acidity propping up papaya, melon and green banana flavors. Resiny on the finish, but smooth.",Spain,Chardonnay
"Candied and sweet smelling but still honest on the nose, with spice, cinnamon and black cherry aromas. The palate is fresh and healthy feeling, with mildly creamy cherry, berry and mocha flavors. Finishes creamy as well, with lasting sweetness. 60% Garnacha with 35% Tempranillo and 5% Mazuelo.",Spain,Red Blend
"Fruity, sweet, a touch rubbery, and very much what you should expect from a good, ready, well-made Garnacha from Aragón. The palate is lush and full, with snappy blackberry, raspberry and plum flavors. Round on the finish, with size and texture. Drink now through 2012.",Spain,Garnacha
"A fine wine but not up to par with previous renditions. This vintage has proprietary blueberry, floral and jammy aromas, while the palate is narrow and a touch sheering and tannic, with jammy dark berry flavors and not a lot of variety or complexity. Forward, linear and monotone, but what's here is quite good. Drink now–2013.",Spain,Tempranillo Blend
"As far as value-priced Ruedas go, this is at the top of the heap. The nose is forward, clean as glass and not too pungent or demanding. Solid as can be across the tongue, with green fruit flavors that shine and don't force the issue. Crystalline and pure from start to finish.",Spain,Verdejo
"Full and spicy from the get-go, with hints of clove vying with savory berry and leather. The optimum word to describe this wine is friendly, meaning it delivers ripeness, berry flavors and sweet, spicy accents that complete the package. Leans toward baked and sweet but keeps things properly framed.",Spain,Tempranillo
"This is supersmooth and attractive, with earth, cola, tobacco, balsam and solid berry aromas. The palate rings with vitality, while the flavor profile consists of an ideal mix of vanilla, herb, tomato and berry. Dry on the finish, with a leathery note. Drink now–2018.",Spain,Tinto Fino
"Sweet, candied aromas run toward raisin, while the acidic, choppy palate deals both red currant sourness and raisiny sweetness. Finishes short but chunky, with biting acidity. Below-average stuff.",Spain,Tempranillo
"Made from the local Rufete grape, this is a prickly, slightly pickled wine. The flavors seem underdeveloped and pithy like pink grapefruit, while the palate feel doesn't really mesh. Too out there to savor a second sip.",Spain,Rufete
"Burnt and cheesy smelling, with undefined, leafy red-fruit flavors. Hard and tannic in the mouth, with herbal flavors and a hint of green on the finish. Seems less than clean.",Spain,Tempranillo
"Plum, spice and baked-fruit aromas give you some hope, but the palate on this no-dosage Pinot Noir Cava is tart to the point of being sour. Flavors of cherry skins and currants are austere, while the finish is rhubarby.",Spain,Pinot Noir
"Apple and dry spice aromas comprise the restrained but pleasant bouquet. It feels good, healthy and dry as a bone, with briney white-fruit flavors. It tastes mildly pickled on the finish, but it shows good feel and balance.",Spain,Sparkling Blend
"A good taste of Toro at the right price. The nose deals classic baked fruit, rubber and girth, while the warm, full palate shows reasonable vitality along with berry and cassis flavors. Solid and a little chocolaty on the finish. A textbook warm-climate Spanish wine.",Spain,Tinta de Toro
"Perfectly drinkable Monastrell year after year despite the silly name. Plum and roasted berry aromas and flavors are sweet, ripe, clean and on the generic side of the fence. A little rugged and hot at 15%, but lusty and good for the price.",Spain,Monastrell
"Lemon, apple blossom and honey aromas make for a correct, attractive bouquet. Meanwhile, the palate is typically crisp and vibrant, with cutting acids that push the pineapple and citrus flavors to a point. Long and exact on the finish, and overall there's not an ounce of flab to this streamlined white.",Spain,Albariño
"Alconte is the new second wine from Montecastro, but it doesn't take a back seat to anything. It's powerful juice, with a strong mineral/floral element on the bouquet. Aged only a year in oak, it maintains a crisp, charred character and shows tight raspberry flavors, chocolate and pepper. Features all the right stuff for a debut wine from a strained vintage.",Spain,Tempranillo
"Concentrated and solid, but not a wrecking ball. The nose offers tobacco and earthy aromas, while the palate is jammy and smooth, with sweet flavors of blackberry, fig and tobacco. Spicy enough and pretty long on the finish, with another wave of tobacco. Almost too ripe but not quite. 70% Cabernet Sauvignon and 30% Syrah, as is the 87-point 2006 vintage.",Spain,Cabernet Sauvignon-Syrah
"For an '07, this shows nice fruit and a direct, honest approach. The nose offers up spice and berry aromas along with some buttery oak, and that creamy woodiness carries onto the palate and blends well with juicy, crisp red fruit flavors that are representative of the vintage and region. Drink now–2014.",Spain,Tempranillo
"Roasted and rubbery, this features potent leather and compost aromas that settle with airing. Angular, aggressive and full of power and lemony oak, it also has raw wood and heavily toasted black-fruit flavors. Long, peppery and choppy, it's powerful and stomping. Best to hold this for 3–5 years before drinking, when it should emerge as a better, more approachable wine.",Spain,Tempranillo
"Expansive and generous on the nose, this has all the bold berry aromas for which Ribera del Duero is known. It feels tight as a drum, with staunch acidity. Flavors of dark fruit and chocolate are typical for a small-production—150 cases—modern wine. It's tight, spicy and integrated on the finish, with a lasting note of lemony oak. Best 2014–2018.",Spain,Tempranillo
"Modest lime and stone aromas don't give it much push, and the bubbly, foamy palate of candied apple and other sweet fruits isn't much of a savior. With soda-like qualities and lemon-lime on the finish, it's your basic quaffable Cava.",Spain,Sparkling Blend
"Better upon previous tastings. This time around it seems tough and rubbery, with a caustic burn to the nose. The palate is sweet and burnt, with caramel and raw berry fruit. Lacks freshness.",Spain,Sparkling Blend
"A tart, stemmy wine with sour red-fruit flavors borrowed from the cherry and plum families. Choppy and acidic, with a biting palate and not much good on offer. It's 50% Rufete and 50% Tempranillo.",Spain,Red Blend
"Salinic smelling, with a spot of nectarine on the nose. The palate is full and chunky, with thick plum and raspberry flavors that fail to refresh. Tastes pithy and mildly bitter on the finish.",Spain,Garnacha
"A sweet and cloying style of rosé. The bouquet is punch-bowl sweet, with mango and berry aromas, while the palate is like a fruit smoothie. Too sweet, with no edge.",Spain,Sparkling Blend
"A jumbled wine with strange aromas of bacon and wild herbs that are followed by a clipped, scouring palate that's driven by ultrasharp acidity. Too little ripeness and way too much tartness equals a sketchy, unrecommended wine.",Spain,Tempranillo
"Cristalino has always done well with crisp, straightforward Cavas. This attempt at something higher fails; it's a cidery, flat wine without much kick, zest or bead. Chunky and lacking electricity.",Spain,Sparkling Blend
"This begins with a light red-fruit aroma that falls into the cherry-berry vein. It feels bouncy, rubbery and pleasant, with roasted, rubbery berry and savory spice flavors. The finish is light on fruit but good in feel.",Spain,Monastrell
"Interesting aromas of brick dust, mint, fall leaf and dried fruit seem traditional and familiar. The palate is tight, tannic and rubbery, with roasted, savory flavors of spiced berry and plum. Oak, prune and fig notes work the firm finish.",Spain,Red Blend
"This smells yeasty and peachy, with a maderized quality to the bouquet. It tastes cidery and citrusy, with a light body and not much in the way of bubbles or vitality. The flavors of apple, lemon and peach are fair and fleshy. Tastes pithy on the finish.",Spain,Verdejo
"Clean, minerally and smells of tarragon, fresh bell pepper and lemony citrus. Feels lively, with pink grapefruit, passion fruit, lime and generic sweetness for flavors. A lip-smacking wine that's varietally accurate. 60% Verdejo and 40% SB.",Spain,Verdejo-Sauvignon Blanc
"Big boysenberry aromas are lively, a bit minty and fresh, while the extracted palate has a fruit-driven personality, ample tannins and dark wild-berry flavors. Young, bouncy and tangy on the finish. Composed for a young, inexpensive red.",Spain,Tempranillo
"Opens with sweet berry and plum aromas and later there's earthy heft. The palate is big, acidic and fruity, with bold, stretched-out berry flavors. Finishes with a touch of bitterness and rubber, but overall it's a perfectly solid, grapey, tightly wound wine.",Spain,Tempranillo
"Decent and quaffable but does not compare to the winery's Verdejo. This is prickly and full of pine needle, juniper and other sharp aromas. The palate has a good feel but pickled, briney flavors. Skeletal given its warm-climate origins.",Spain,Sauvignon Blanc
"Raspberry and rubber aromas are solid if not refined, while the firm palate is sweet and full of black cherry flavor. Rough, tumble and unsophisticated in the mouthfeel department but ripe and tasty throughout, with dark shadings on the finish.",Spain,Tempranillo
"A round and smooth version of Albariño, with apricot and orange aromas. The palate has a layered, creamy feel and full flavors of bulky apricot, peach and also citrus. Fleshy on the finish, and definitely at peak maturity. Drink right away.",Spain,Albariño
"Toasty right away, with lightly baked apple aromas. The palate has a fine feel and good overall intensity, while the flavors of lemon, white grapefruit and apple are subtle and clean. Long and persistent, and showing quite a bit for a standard nonvintage Cava.",Spain,Sparkling Blend
"A toasty, yeasty, organic grape Cava with butterscotch, vanilla and baked fruit aromas. The palate has good balance, while the flavors are citric but not sour, with pineapple and orange leading the fight. Clean and not complicated, but more elegant than the average Spanish sparkler.",Spain,Sparkling Blend
"Clean lines and fresh, oak-tinged aromas is what this Viura (with 10% Malvasia) is all about. The nose starts with lemon, green apple and a spot of vanilla, while the juicy palate brings bright white fruits, toasty oak and smoke. Not overly complex but not rudimentary or dull. A nice food wine and probably the best barrel-fermented white from Muga we've tried.",Spain,White Blend
"Only 400 cases of this top-level crianza were made, and it smells rich and good, with notes of ripe berry and plum and a mild syrupy note. Although it feels big, it's also fresh and layered, with pure berry, herb, spice and oak flavors. Toasty, smooth and elegant as a whole. Drink now–2015.",Spain,Tempranillo
"Roasted meat, leather, animal and stout berry aromas make for an inviting bouquet. Like most serious Toro wines, this is hard but fresh and layered, with lively black-fruit flavors that darken under the control of oaky spice. Tobacco, menthol and mint ring loudly on the finish. Drink now–2018; 200 cases made.",Spain,Tinta de Toro
"Emphatically toasty and charred on the nose, this offers chocolate and hickory aromas. It feels smooth, plush, layered and not at all simple, with baked black-fruit flavors that are draped over savory barbecue and spice accents. The toast is present but not overpowering on the finish.",Spain,Garnacha
"This is extremely fruity, with an exotic bouquet of blueberry, cardamom, nutmeg and earth aromas. It feels smooth, collected and fairly rich, with savory, lightly baked flavors of black fruit. The finish remains savory, where graham cracker sweetness and roasted qualities dominate.",Spain,Red Blend
"Dusty and smooth upfront, this has attractive orange, nectarine and cream aromas. It feels layered and balanced, with cantaloupe, orange and milk chocolate flavors vying for attention. Mild but composed on the finish, this is made entirely from Trepat.",Spain,Trepat
"The grape is Parraleta, the region is Somontano, and the end result is more original than attractive. The wine is hot, grassy and tart. It falls flat and tastes dull and wan. Lots of acid and scour; not much else.",Spain,Parraleta
"Alvaro Palacios is as meticulous as any vintner when it comes to vine maintenance and winemaking. His Finca Dofi blends Garnacha and Cabernet Sauvignon with some Syrah and sometimes Merlot, and the result is extremely impressive vintage after vintage. This wine is alluring, silky smooth and endowed with beautiful herb and mineral notes along with light oak, fine tannins and non-stop length on the finish. It's drinkable right now and should hold steady and/or improve over the next five years. Imported by Rare Wine Company. Editors' Choice.",Spain,Red Blend
"Woodsy, perfumed and light on the nose, this has rosebud and lemon peel aromas. The palate shows a touch of resiny oak, with flavors of raspberry and chocolate, ending with a hint of vanilla.",Spain,Bobal
"Crisp and likable, this smells stony and snappy, with spring pea, passion fruit and citrus aromas. It feels well cut, with green bean, grass and citrus flavors. While it hints at being vegetal, it maintains a consistent white-fruit and citrus profile.",Spain,Sauvignon Blanc-Verdejo
"Sweet, ripe, rich and a little baked on the bold bouquet, with a good mouthfeel, layered blackberry and plum fruit, and then a long, robust and clean finish. As value-priced Garnacha from Spain goes, this is on the dot.",Spain,Garnacha
"More traditional and Old World in style, with some light oak supporting aromas of rubber, smoked meats, leather and berry fruit. There's good life to the bouncy palate along with flavors of zesty plum and cherry. Snappy and crisp on the finish.",Spain,Garnacha
"Smells waxy, as if it has slipped past its prime. The palate still sports a beam of bright acidity but there isn't much body or lees to accompany the richness, so the volume is low as a whole. Tastes good, but mostly like citrus and fresh fruit juice.",Spain,Albariño
"Pungent, grassy and ultrafresh, with citric aromas and textbook scents of wild grass, nettles and passionfruit. The palate is similar, with passionfruit, green melon and citrus front and center. The feel is wet and flashy, and overall this is a very nice wine to match with salads, fish and the like.",Spain,Verdejo
"Delicious and ready to drink. The nose brims with lemon peel, minerality, saline and natural vanilla. In the mouth, it's healthy and ready to go, with citrusy lead flavors along with requisite green apple. Still fresh and crisp despite having been released a year ago. A wine to enjoy immediately.",Spain,Albariño
"This is a really good example of a blended wine from Aragón. It's 50% Garnacha with 25% each Tempranillo and Cabernet Sauvignon, and thus it is more complex and interesting than your run-of-the-mill varietal Grenache. Mellow aromas of ripe fruit and spice open things up, followed by balanced flavors of berry fruits, vanilla and cream. Easygoing and highly recommended for the price.",Spain,Red Blend
"A wine that reflects its northern Ribera location (Sotillo) through zesty, pointed aromas and some gritty char and minerality. The nose shows plenty of solid oak, chocolate and spice, and in the mouth the acids are a bit sharp and thus the wine is kind of spiky and angular. Still, it's a very nice RDD, just not as generous as it could or should be. Drink now–2019.",Spain,Tempranillo
"Yellowing to the eye, with waxy vanilla aromas along with toasty lemon and apple scents. For an '07 it's hanging in well even if it's creamy and rich, with banana and lemon cream pie flavors. Best to drink now; 70% Viura and 30% Malvasia.",Spain,White Blend
"Floral and fruity, with clean aromas. In the mouth, it's saturated and intense as if offers up a meaty set of dense fruit flavors. Doesn't show as much complexity, layering and variety as we might like to see, but it's pretty flashy and good for a 2007, a vintage that was problematic in this region.",Spain,Tempranillo
"This is perfectly welcoming and complex upfront, with dried raspberry, leather and light herb aromas. It feels stylish and layered, with flavors of berry, earth and integrated oak. Classy and smooth on the finish, drink this now–2020.",Spain,Tempranillo Blend
"Opens with touches of coconut, mineral, violet petals and sweet black fruits. The mouthfeel is textured and smooth, while the flavors of raspberry, blackberry and plum are deep, delectable and of very high quality. This is Ribera del Duero wine at the optimal intersection of power, flavor and human care and concern. Drink now and over the next four years. Imported by Fine Estates From Spain. Editors' Choice.",Spain,Tinto Fino
"Very ripe, rich and rewarding. Perpetual is Torres' top wine from the Priorat, and it's a winner in 2006; it has polish, power and life. The nose is dark and alluring, while the palate hits comfortably with bold black cherry, cured meat, herb and tobacco flavors. Long and honest on the finish, with thrust. Good now thru 2013. Imported by Dreyfus, Ashby & Co. Editors' Choice.",Spain,Red Blend
"Golden in color, this has bready baked-apple aromas. It feels plump and soft for a brut nature, with a maderized quality to the palate. It tastes extremely dry, like seltzer water blended with citrus, almond and butterscotch. It continues on the same flavor plane throughout the finish.",Spain,Sparkling Blend
"The oyster and clam shell aromas are briney to say the least. The palate is acidic and scouring, with lime, lemon and green melon flavors. It turns pithy on the finish, then a little bitter.",Spain,Albariño
"The aromas are slightly maderized and soft, with hints of baked apple and corn cake. It feels plump, mealy and a touch flat, with nectarine and wheat flavors. Chunky and peachy on the finish, this is starting to fade.",Spain,Verdejo
"Neutral for the most part, with a slight citric pungency. Tastes like apple, spice and dried papaya, and the feel is round as opposed to zesty or angular. Lasting on the back end, with a final note of grapefruit.",Spain,Verdejo-Viura
"A little rusty in color, with earthy, stemmy, baked fruit aromas mixed with a dose of dried leaves. Seems a lot like Cabernet Franc with its herbal, leafy overtones and dry plum and cherry flavors. Finishes short and herbal, but with good feel and flow.",Spain,Tempranillo-Merlot
"The nose shows buttered popcorn, toast and baked apple, while the palate is tangy and tastes of tart white fruits, green apple and toast. Has good flow and a cleansing feel to it. Not bad for an oaky blend of Viura and Chardonnay.",Spain,White Blend
"Floral, sweet and not the least bit complicated or strained. This is easygoing red wine for easy times. It's a bit candied and baked, but that's Garnacha from Central Spain. Decently balanced and sturdy, especially given the price tag.",Spain,Grenache
"Medicinal black fruit aromas are a little burnt and brambly, while the palate is snappy, acidic and tannic, with tomato, raspberry and oak-driven creaminess. Finishes dry, with a lasting flavor of vanilla that tempers overriding acidity.",Spain,Tempranillo
"Spicy and jumpy on the nose, with pine and juniper notes coming alongside more normal berry and cherry scents. The palate has a severe snappy, citrusy, narrow feel and flavors of cherry, red plum and cherry tomato. Lightly herbal and oaky on the finish, with good length.",Spain,Tempranillo
"Roasted and charred, with a a clear and present barrel influence along with thyme, herbs and tomato leaf. In the mouth, it's sweet and ready, with ripe berry flavors touched up by cocoa. Toasty and a little minty on the finish, but flavorful and perfectly good as a whole.",Spain,Tempranillo
"A good to very good wine with medicinality on the nose that takes over the aromatics. There's also the slightest bit of hard cheese and stem on the bouquet, so overall it is fighting an uphill battle. Along the way it delivers flavors of cough drop, cherry and a good, solid finish.",Spain,Tempranillo
"If someone says Vilarnau brut, you should say, yes, I'd love a glass. This bubbly will win you over with its dense but controlled palate and flavors of orange and sweet, ripe grapefruit. It has a bit of green to it and it draws back nicely on the tongue without overfizzing.",Spain,Sparkling Blend
"Falls into the dark and roasted category, with aromas of leather, black fruits and toast. The palate is saturated and full, with dark, roasted black fruit, molasses and spice flavors. Warm on the finish almost to the point of being hot, but not quite. A very solid wine overall.",Spain,Tempranillo Blend
"Deep and earthy smelling, with meatiness, black fruit and hickory notes to the bouquet. The wine offers concentration and thickness, with ripe, slightly medicinal flavors of plum and blackberry. The same goes for the finish, and overall this is a medium-to-full Grenache that gets it done.",Spain,Grenache
"Sweet and full of raspberry aromas, foresty scents and sandalwood. Overall it's a well-made, intriguing Grenache with a fleshy, sturdy body and deep cherry, berry and chocolate flavors. It's a bit tannic, but that only helps the structure. Finishes nicely, with dry spice and vanilla notes.",Spain,Garnacha
"Briary berry, leather and animal aromas comprise the bouquet on this full-forced effort. Astringent and jumpy in feel, it has piercing acidity, propelling the tangy flavors of berry, currant and plum. It's toasty, offering a pinch of tobacco on the finish. Drink 2013–2017.",Spain,Tinta Fina
"Graham cracker, raisin, earth and leather aromas announce a level of richness. It feels prune-like and saturated but not flat, with blackberry and exotic spice flavors. It qualifies as a lush, ripe specimen with a long finish that stays the course. Syrah, Cabernet and Tempranillo are the components.",Spain,Red Blend
"A high level of purity from the start. The bouquet attracts with strong scents of mineral, flowers, wild herbs, berry fruit and toast. There's no shortage of bracing acidity, so the body weight and balance are just right. One of Spain's most food-friendly, elegant wines, and not run of the mill. The best expression of Mencia on the market today.",Spain,Mencía
"Starts out with stalky, corny aromas that are typical of sweet Cavas. It feels candied and almost cloying, but adequate acidity comes to the rescue. Flavors of melon, mango and kiwi are sweet, while the finish suggests corn cakes and tropical fruits.",Spain,Sparkling Blend
"This smells like fresh pavement at first, with gritty black-fruit and burnt leaf notes. The palate feels edgy, with a spotty red-fruit flavor that's matched with notes of resiny oak and vanilla. It finishes in a similar fashion. Novo Imports and Aidil Wines & Liquors.",Spain,Tempranillo
"Generic peach and melon aromas are pleasant, clean and simple, while flavors of pineapple, melon, mango and kumquat are basic and sweet, almost like canned fruit salad. Finishes pithy, with some banana-like sweetness.",Spain,Chardonnay
"Wild, foxy and full of young, bursting berry fruit. There's nothing tamed or refined or special about this youthful Tempranillo. The flavors of plum and berries are intense, bright, grabby and modest in what they deliver. Consistent wine from year to year.",Spain,Tempranillo
"Starts with earthy burnt aromas, but in short time cassis and berry aromas rise to the surface. Fresh and tangy feeling, with spunky red fruit and tomato flavors. Finishes a little saucy, with more tomato and an herbal aftertaste.",Spain,Tempranillo-Shiraz
"Full, sweet, a touch reduced and granular on the nose, but exemplary of what affordable Garnacha from a good vintage should be like. The palate is stacked and deep, while the flavors are a mix of wild berry, rubber, toast and espresso. Turns a bit hot on the finish, but food will tame that. Drink now.",Spain,Garnacha
"Dark as night and thick, with heavy, modern aromas of shoe polish, bacon and ripe, roasted black fruits. The feel is concentrated and healthy, while the flavors run very ripe and dark, with plenty of oak thrown in. Finishes rich, with bacon, resin, black pepper and some burn. Seems more jacked up than its listed 14.5% alcohol.",Spain,Tempranillo
"Crisp, clean and nice on the nose, with a hint of white pepper. The palate is round and not overly acidic, making it friendly and endowed with mass appeal. Flavors of green melon and citrus are smooth and not too demanding, while the finish is easy and clean. A welcome entry into the land of Rueda and its Verdejo.",Spain,Verdejo
"In many ways, this is Valdemar's best wine in that it's always consistent and satisfying. The nose on this vintage offers a blast of sweet coconut and then black fruit aromas, and while there's acidity front and center it doesn't come across sharp. Instead, the focus is on plum and raspberry fruit and a finish that picks up steam.",Spain,Tempranillo
"Snappy and a little green on the nose, with hints of juniper and green apple. The palate is perfectly good but nothing special, while the flavors of apple and citrus are punchy and pure. Frothy but controlled, with lots of flavor and forward kick. Apéritif city!",Spain,Sparkling Blend
"For those who like an old-school, oxidized style of white Rioja (think López de Heredia), Murrieta's Capellanía is up your alley. The nose is almost like Sherry in its creamy, maderized state, while the palate is low in power, with coconut and lemon flavors. Finishes soft, with vanilla. A unique, identifiable white wine that's not for everyone. Drink now.",Spain,White Blend
"Minty and on the nose, this has notes of licorice, black fruit and a funky kick. It feels big, tannic, powerful and warm, with wild berry and boysenberry notes, plus a ton of dark spice, chocolate and mild heat. Toasty and extremely dark on the finish.",Spain,Tinta de Toro
"Focused and salinic, offering mild white-flower and peach aromas, this feels full, round, fleshy and balanced, with pithy citrus, peach and almond flavors that lead nicely to a smooth, melony finish. This is about as complex as Albariño gets.",Spain,Albariño
"Minimum was impressive wine in 2003 and it's better in 2004. Cambra's blend of 70% Monastrell and 30% Cabernet Franc is probably the best wine coming from the obscure Valencia D.O. It is generous, balanced, rich and lusty; flavors of blackberry, cassis and plum are succulent and every hole or gap seems filled by tannin, flesh and flavor. Drink now through 2011.",Spain,Red Blend
"Gaseous berry aromas settle on pepper, oregano and earth tones. It feels tight, full and potent, with herbal, peppery flavors of black fruit and licorice. This turns more meaty and pumped up as it unfolds—much more rugged than refined.",Spain,Red Blend
"Straightforward peach aromas come with a stalky, grassy side. It feels zesty, spritzy and citric, then tastes almost entirely of orange and tangerine, with a dry finish.",Spain,Albariño
"Ripe, minty and exuberant on the front end, this has a hint of animal in addition to a note of blueberry. Saturated and simple, this has a ripe red-berry flavor that comes across as red licorice. Fruity and fun.",Spain,Red Blend
"Forward and direct up front, this has a yeasty but fresh apple aroma. It feels clean and ready, with lemon-lime and kiwi flavors that lead to a fresh finish. This is textbook Cava with some sweetness.",Spain,Sparkling Blend
"Nervy raspberry and cherry aromas come with a pinch of green herb. It feels astringent yet structured and crisp, with edgy red-berry and herb flavors. Lively, fiery and mildly acidic on the finish.",Spain,Monastrell
"Raisiny on the nose, but even with the bouquet's overripeness, it settles on the palate, showing fresh raisin and cassis flavors, with just enough acidity to keep it balanced. Jammy and short on the finish.",Spain,Tempranillo
"Slightly cooked-smelling on first take, with hints of stem and rubber. It improves over time, showing earthy berry fruits and leather. The palate is pretty good and lively, with earthy, herbal flavors of berry, tea and spice. A little stewy and herbal, but still a good Ribera wine.",Spain,Tempranillo
"Aromas of milk chocolate, cotton candy, bacon and sweet fruits are a lead into standard fare cherry and raspberry flavors. The feel is acidic but fresh, while the finish is thin but clean. Average wine.",Spain,Tempranillo
"Opens with black cherry, baked plum and other heavy, semiroasted aromas. The palate is chunky but weak on definition and structure, while the flavors are limited to dry red-apple skins and bland red fruit. Acidic as well, which leads to a washed-out finish.",Spain,Red Blend
"Pure and driving, but also acidic and woody in aromas and flavors. Can't say that this barrel fermented Viura-based white is Muga's best wine. It's crisp with green apple and pineapple, but also a little sour and simple. With 10% Malvasia.",Spain,Viura
"Vanilla and a lot of oak blend with baked apple on the nose, while the palate is grabby and resiny, with drawn, oak-heavy flavors of baked apple and vanilla. For a winery that rarely misses with its red wines, this is one that's o.k. but probably not worth the money.",Spain,White Blend
"Opens with generic berry aromas and a slight candied, gaseous undercurrent. The palate is modest and lean, with decent raspberry flavors and not a whole lot of follow through. Basic and a bit rubbery.",Spain,Tempranillo
"Begins with a sweet marshmallow creaminess on the nose, which is followed by a firm, tanninc palate with snappy cherry and raspberry flavors. Clean and easy to understand, but in the end it's a very regular wine.",Spain,Tempranillo
"Briar and rhubarb aromas suggest stemminess, but the palate is fairly clean and clear, with tight, rubbery tannins supporting red fruit flavors of cherry and plum. Short, rubbery and unexceptional, but good enough despite a whiff of green that's probably due to the Cabernet in the wine.",Spain,Tempranillo-Cabernet Sauvignon
"Nice wine with standard Rioja aromas of raspberry, vanilla, licorice and dill. The palate has life and kick due to protruding acidity, while the flavor profile is based on snappy, high-toned plum and red berry. Softer on the finish, where butter and vanilla notes rise up. Drinkable now but will hold for another few years.",Spain,Tempranillo Blend
